Loc,Cmp,To ship,Customer,order,qty,shipdate,comments,,# of cases,,Entered on sheet,To Finishing,To Shipping
m2,TRUE,0,corp,s51910 y,2,2/16,-,,1,,2/9     7:28AM,2/15     8:24AM,2/16     7:27AM
m2,TRUE,-3,corp,s51811 y,24,2/16,-,,1,,2/8     5:27AM,2/20     12:19PM,2/20     12:20PM
m5,TRUE,-5,corp,s51833 y,26,2/14,-,,1,,2/2     1:33PM,2/13     3:44PM,2/20     12:20PM
m0,TRUE,1,corp,s51956 n,2,2/28,-,,1,,2/20     8:58AM,2/22     7:18AM,2/22     11:32PM
m4,TRUE,-7,rally,s51846 n,288,2/16,caps,,2,,2/9     7:29AM,2/20     10:50AM,2/23     6:21AM
m1,TRUE,-3,corp,s51922 y,20,2/23,-,,1,,2/13     3:44PM,2/23     6:24AM,2/23     11:03AM
m1,TRUE,0,corp,s51797 y,48,2/27,-,,3,,2/13     3:44PM,2/23     6:24AM,2/23     2:38PM
m6,TRUE,-6,camp,697669 y,1200,2/19,caps,,1,,2/9     6:21AM,2/27     6:01AM,2/27     6:01AM
m5,TRUE,-6,camp,697671 y,402,2/19,-,,1,,2/9     6:21AM,2/27     6:01AM,2/27     6:01AM
m1,TRUE,-6,camp,697661 y,816,2/19,-,,1,,2/9     6:21AM,2/21     9:35AM,2/27     6:02AM
m1,TRUE,-3,corp,s51919 n,15,2/27,has screen,,1,,2/22     5:59AM,2/22     11:32PM,2/27     6:58AM
m1,TRUE,-5,corp,s51920 y,38,2/22,-,,1,,2/13     3:44PM,2/21     9:34AM,2/27     8:02AM
m1,TRUE,-5,corp,s51858 n,115,2/22,-,,2,,2/20     8:57AM,2/22     11:32PM,2/27     8:02AM
m4,TRUE,-3,corp,s51908 y,30,2/27,caps,,2,,2/13     3:44PM,2/27     6:24AM,2/27     9:58AM
m3,TRUE,-7,camp,697670 y,612,2/19,-,,16,,2/9     6:21AM,2/27     6:01AM,2/27     10:22AM
m4,TRUE,-8,rally,s51845 n,288,2/16,caps,,8,,2/9     7:29AM,2/23     6:36AM,2/27     3:22PM
m4,TRUE,-3,corp,s51996 n,51,2/27,caps,,1,,2/23     12:54PM,2/28     5:56AM,2/27     3:23PM
m1,TRUE,-4,corp,s51947 n,5,2/28,-,,1,,2/20     8:58AM,2/28     2:56PM,3/1     7:19AM
m1,TRUE,-4,corp,s51946 y,170,2/28,-,,8,,2/20     10:01AM,2/28     1:23PM,3/1     7:58AM
m1,TRUE,-3,corp,s51964 n,24,3/1,-,,1,,2/20     1:25PM,3/1     6:58AM,3/1     8:34AM
m4,TRUE,-4,corp,s51961 n,24,2/28,caps,,1,,2/20     1:25PM,2/27     6:24AM,3/1     9:29AM
m1,TRUE,-3,corp,s51972 n,17,3/1,-,,1,,2/20     3:03PM,2/22     11:32PM,3/1     9:30AM
m4,TRUE,3,corp,s51976 n,24,3/8,caps,,1,,2/22     6:37AM,2/27     6:24AM,3/1     9:31AM
m2,TRUE,-9,camp,697662 y,1200,2/19,caps,,10,,2/9     6:21AM,3/2     7:22AM,3/2     11:48AM
